[15/May/2024:08:11:23 +0000] 192.168.65.1 04c47373cee8ae88eb79fff5a5eb1183 GET / HTTP/1.1
[15/May/2024:08:11:24 +0000] 192.168.65.1 5cfc6be5e8ae4f54fd6ba8d0d678f8ea GET /wp-admin/install.php HTTP/1.1
[15/May/2024:08:11:24 +0000] 192.168.65.1 361c4e3eeb4ae1935f01fe5de149478e GET /wp-includes/css/buttons.min.css?ver=6.4.3 HTTP/1.1
[15/May/2024:08:11:24 +0000] 192.168.65.1 6edcc32f7560fc7b342d6578e59519f7 GET /wp-admin/css/install.min.css?ver=6.4.3 HTTP/1.1
[15/May/2024:08:11:24 +0000] 192.168.65.1 2bf5021f3a208e3507df5f4f4bcacb1e GET /wp-includes/css/dashicons.min.css?ver=6.4.3 HTTP/1.1
[15/May/2024:08:11:24 +0000] 192.168.65.1 74a43819c1c38fe3b91adc53190b2d81 GET /wp-admin/css/l10n.min.css?ver=6.4.3 HTTP/1.1
[15/May/2024:08:11:24 +0000] 192.168.65.1 292cba3e36e538f045c5b9d91ac94a8e GET /wp-admin/css/forms.min.css?ver=6.4.3 HTTP/1.1
[15/May/2024:08:11:24 +0000] 192.168.65.1 5927207814c385a6e44827bd69b4fdaf GET /wp-includes/js/jquery/jquery.min.js?ver=3.7.1 HTTP/1.1
[15/May/2024:08:11:24 +0000] 192.168.65.1 3eea03bdd41b58e7973d5d3aa5ba6e6f GET /wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1 HTTP/1.1
[15/May/2024:08:11:24 +0000] 192.168.65.1 0701148001ca2238bc11b4c9725070a7 GET /wp-admin/js/language-chooser.min.js?ver=6.4.3 HTTP/1.1
[15/May/2024:08:11:24 +0000] 192.168.65.1 9f788969df37fbccb903bbbdd90e1673 GET /wp-admin/images/wordpress-logo.svg?ver=20131107 HTTP/1.1
[15/May/2024:08:11:24 +0000] 192.168.65.1 35f82bb291062dec3d6360a38a4b731c GET /wp-admin/images/spinner-2x.gif HTTP/1.1
[15/May/2024:08:11:24 +0000] 192.168.65.1 2c9e791c9064901fbbbb0c5d211e0c26 GET /favicon.ico HTTP/1.1
[15/May/2024:08:11:35 +0000] 192.168.65.1 24ebb27b47de35852e79a2322db0a9f3 POST /wp-admin/install.php?step=1 HTTP/1.1
[15/May/2024:08:11:35 +0000] 192.168.65.1 1fb929a3861d91093e074b1f11953c03 GET /wp-includes/js/zxcvbn-async.min.js?ver=1.0 HTTP/1.1
[15/May/2024:08:11:35 +0000] 192.168.65.1 f567e11098c34390f817c90e96757aaa GET /wp-includes/js/dist/vendor/wp-polyfill-inert.min.js?ver=3.1.2 HTTP/1.1
[15/May/2024:08:11:35 +0000] 192.168.65.1 e4edd2491820b21526454ee61de3f75c GET /wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.14.0 HTTP/1.1
[15/May/2024:08:11:35 +0000] 192.168.65.1 dfc0859eaea4579f742817e6dad06b66 GET /wp-includes/js/dist/hooks.min.js?ver=c6aec9a8d4e5a5d543a1 HTTP/1.1
[15/May/2024:08:11:35 +0000] 192.168.65.1 c5bbe9bea06385a58fddf95330f85074 GET /wp-includes/js/dist/i18n.min.js?ver=7701b0c3857f914212ef HTTP/1.1
[15/May/2024:08:11:35 +0000] 192.168.65.1 83dc8e8037c2b6635985770b0b23ed0c GET /wp-admin/js/password-strength-meter.min.js?ver=6.4.3 HTTP/1.1
[15/May/2024:08:11:35 +0000] 192.168.65.1 aeecd8089392bdb7799f5929005b3f67 GET /wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0 HTTP/1.1
[15/May/2024:08:11:35 +0000] 192.168.65.1 843e0c8951e5650b802ecb77d9d7226b GET /wp-includes/js/underscore.min.js?ver=1.13.4 HTTP/1.1
[15/May/2024:08:11:35 +0000] 192.168.65.1 a712e55f62759f8c30a735549848d66b GET /wp-admin/js/user-profile.min.js?ver=6.4.3 HTTP/1.1
[15/May/2024:08:11:35 +0000] 192.168.65.1 30f7dd8d3d0c619359adac7eae569b95 GET /wp-includes/js/wp-util.min.js?ver=6.4.3 HTTP/1.1
[15/May/2024:08:11:36 +0000] 192.168.65.1 ab7cdcf71cf85702c853a3ecc44b5b43 GET /wp-includes/js/zxcvbn.min.js HTTP/1.1
[15/May/2024:08:12:02 +0000] 192.168.65.1 0cc25a4a6df47cc8ce56126b38fee357 POST /wp-admin/install.php?step=2 HTTP/1.1
[15/May/2024:08:12:05 +0000] 192.168.65.1 2b44f10c80e68a20216e6fcd83f09850 GET /wp-login.php HTTP/1.1
[15/May/2024:08:12:05 +0000] 192.168.65.1 fb38b7ed981c9f64422360157071837c GET /wp-admin/css/login.min.css?ver=6.4.3 HTTP/1.1
[15/May/2024:08:12:09 +0000] 192.168.65.1 52ea9ce9d2b3da480a53773732d154ff POST /wp-login.php HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 a9f3629a749b09a0c0ce73ebeac370f6 GET /wp-admin/ HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 e8131d64578cbc9ab0390a97c5d710c2 GET /wp-includes/js/thickbox/thickbox.css?ver=6.4.3 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 4d17738c53f7db2edb288a33ad346c9c GET /wp-includes/css/editor.min.css?ver=6.4.3 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 3d760d720ddc521f1d1570b9a63312c3 GET /wp-admin/js/common.min.js?ver=6.4.3 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 97b5976a2451aebdd898099425af9075 GET /wp-includes/js/admin-bar.min.js?ver=6.4.3 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 5630fedded3b9bc19e4ed4cad3928ab4 GET /wp-includes/js/hoverintent-js.min.js?ver=2.2.1 HTTP/1.1
[15/May/2024:08:12:12 +0000] 192.168.65.1 8d1b840cfe64b9d438c52dd3961a7f6e GET /wp-includes/js/clipboard.min.js?ver=2.0.11 HTTP/1.1
